INFO 2024-06-27 13:18:39,506 autoreload Watching for file changes with StatReloader
DEBUG 2024-06-27 13:18:39,510 autoreload Waiting for apps ready_event.
DEBUG 2024-06-27 13:18:41,703 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-06-27 13:18:41,903 autoreload Watching dir /home/mcrymbo/.local/lib/python3.10/site-packages/rest_framework/templates with glob **/*.
DEBUG 2024-06-27 13:18:41,912 autoreload Watching dir /home/mcrymbo/.local/lib/python3.10/site-packages/djoser/templates with glob **/*.
DEBUG 2024-06-27 13:18:41,923 autoreload Watching dir /home/mcrymbo/shotokan/ShotokanUnited_backend/locale with glob **/*.mo.
DEBUG 2024-06-27 13:18:41,925 autoreload Watching dir /home/mcrymbo/.local/lib/python3.10/site-packages/rest_framework/locale with glob **/*.mo.
DEBUG 2024-06-27 13:18:41,948 autoreload Watching dir /home/mcrymbo/.local/lib/python3.10/site-packages/corsheaders/locale with glob **/*.mo.
DEBUG 2024-06-27 13:18:41,950 autoreload Watching dir /home/mcrymbo/.local/lib/python3.10/site-packages/djoser/locale with glob **/*.mo.
DEBUG 2024-06-27 13:18:41,963 autoreload Watching dir /home/mcrymbo/shotokan/ShotokanUnited_backend/app/locale with glob **/*.mo.
DEBUG 2024-06-27 13:18:41,970 autoreload Watching dir /home/mcrymbo/shotokan/ShotokanUnited_backend/accounts/locale with glob **/*.mo.
DEBUG 2024-06-27 13:18:41,982 autoreload Watching dir /home/mcrymbo/.local/lib/python3.10/site-packages/rest_framework/authtoken/locale with glob **/*.mo.
DEBUG 2024-06-27 13:18:43,031 utils (0.003) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
DEBUG 2024-06-27 13:18:43,062 utils (0.007) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2024-06-27 13:18:43,425 autoreload File /usr/lib/python3.10/lib-dynload/_ssl.cpython-310-x86_64-linux-gnu.so first seen with mtime 1700493245.0
DEBUG 2024-06-27 13:18:43,426 autoreload File /home/mcrymbo/.local/lib/python3.10/site-packages/psycopg2/_ipaddress.py first seen with mtime 1718731871.6788952
DEBUG 2024-06-27 13:18:43,427 autoreload File /usr/lib/python3.10/pickle.py first seen with mtime 1700493245.0
DEBUG 2024-06-27 13:18:43,427 autoreload File /home/mcrymbo/.local/lib/python3.10/site-packages/google/protobuf/internal/api_implementation.py first seen with mtime 1718741874.630293
DEBUG 2024-06-27 13:18:43,428 autoreload File /home/mcrymbo/shotokan/ShotokanUnited_backend/accounts/apps.py first seen with mtime 1718736456.8233535
DEBUG 2024-06-27 13:18:43,429 autoreload File /home/mcrymbo/.local/lib/python3.10/site-packages/django/views/generic/dates.py first seen with mtime 1718731507.598896
DEBUG 2024-06-27 13:18:43,430 autoreload File /usr/lib/python3.10/lib-dynload/_zoneinfo.cpython-310-x86_64-linux-gnu.so first seen with mtime 1700493245.0
DEBUG 2024-06-27 13:18:43,431 autoreload File /home/mcrymbo/.local/lib/python3.10/site-packages/rest_framework/request.py first seen with mtime 1718731514.998896
DEBUG 2024-06-27 13:18:43,435 autoreload File /home/mcrymbo/.local/lib/python3.10/site-packages/google/protobuf/internal/well_known_types.py first seen with mtime 1718741874.7402928
DEBUG 2024-06-27 13:18:43,437 autoreload File /home/mcrymbo/.local/lib/python3.10/site-packages/django/contrib/messages/storage/__init__.py first seen with mtime 1718731505.458896
DEBUG 2024-06-27 13:18:43,440 autoreload File /home/mcrymbo/.local/lib/python3.10/site-packages/rest_framework/templatetags/__init__.py first seen with mtime 1718731515.4088957
DEBUG 2024-06-27 13:18:43,442 autoreload File /home/mcrymbo/.local/lib/python3.10/site-packages/idna/idnadata.py first seen with mtime 1718746523.1802766
DEBUG 2024-06-27 13:18:43,443 autoreload File /home/mcrymbo/.local/lib/python3.10/site-packages/django/contrib/staticfiles/management/commands/runserver.py first seen with mtime 1718731506.938896
DEBUG 2024-06-27 13:18:43,444 autoreload File /home/mcrymbo/.local/lib/python3.10/site-packages/urllib3/connectionpool.py first seen with mtime 1718747375.9002812
DEBUG 2024-06-27 13:18:43,445 autoreload File /home/mcrymbo/.local/lib/python3.10/site-packages/djoser/constants.py first seen with mtime 1718874265.2447612
DEBUG 2024-06-27 13:18:43,446 autoreload File /home/mcrymbo/.local/lib/python3.10/site-packages/django/templatetags/l10n.py first seen with mtime 1718731507.478896
DEBUG 2024-06-27 13:18:43,447 autoreload File /home/mcrymbo/.local/lib/python3.10/site-packages/django/core/checks/database.py first seen with mtime 1718731506.978896
DEBUG 2024-06-27 13:18:43,455 autoreload File /usr/lib/python3.10/random.py first seen with mtime 1700493245.0
DEBUG 2024-06-27 13:18:43,456 autoreload File /usr/lib/python3.10/unittest/util.py first seen with mtime 1700493245.0
DEBUG 2024-06-27 13:18:43,459 autoreload File /usr/lib/python3.10/selectors.py first seen with mtime 1700493245.0
DEBUG 2024-06-27 13:18:43,461 autoreload File /home/mcrymbo/.local/lib/python3.10/site-packages/python_jwt/__init__.py first seen with mtime 1718741873.3602927
DEBUG 2024-06-27 13:18:43,463 autoreload File /usr/lib/python3.10/asyncio/queues.py first seen with mtime 1700493245.0
DEBUG 2024-06-27 13:18:43,465 autoreload File /usr/lib/python3.10/wsgiref/headers.py first seen with mtime 1700493245.0
DEBUG 2024-06-27 13:18:43,466 autoreload File /usr/lib/python3.10/email/iterators.py first seen with mtime 1700493245.0
DEBUG 2024-06-27 13:18:43,468 autoreload File /home/mcrymbo/.local/lib/python3.10/site-packages/django/contrib/postgres/fields/utils.py first seen with mtime 1718731505.508896
DEBUG 2024-06-27 13:18:43,469 autoreload File /home/mcrymbo/.local/lib/python3.10/site-packages/django/db/models/query.py first seen with mtime 1718731507.2588959
DEBUG 2024-06-27 13:18:43,469 autoreload File /usr/lib/python3.10/unittest/signals.py first seen with mtime 1700493245.0
DEBUG 2024-06-27 13:18:43,470 autoreload File /usr/lib/python3.10/unittest/runner.py first seen with mtime 1700493245.0
DEBUG 2024-06-27 13:18:43,471 autoreload File /home/mcrymbo/.local/lib/python3.10/site-packages/django/db/migrations/operations/__init__.py first seen with mtime 1718731507.218896
DEBUG 2024-06-27 13:18:43,472 autoreload File /home/mcrymbo/.local/lib/python3.10/site-packages/requests_toolbelt/multipart/__init__.py first seen with mtime 1718774358.1462505
DEBUG 2024-06-27 13:18:43,472 autoreload File /home/mcrymbo/.local/lib/python3.10/site-packages/django/urls/conf.py first seen with mtime 1718731507.5088959
DEBUG 2024-06-27 13:18:43,474 autoreload File /home/mcrymbo/.local/lib/python3.10/site-packages/google/protobuf/internal/field_mask.py first seen with mtime 1718741874.6702929
DEBUG 2024-06-27 13:18:43,475 autoreload File /home/mcrymbo/.local/lib/python3.10/site-packages/django/db/migrations/utils.py first seen with mtime 1718731507.218896
DEBUG 2024-06-27 13:18:43,475 autoreload File /home/mcrymbo/.local/lib/python3.10/site-packages/django/db/models/sql/query.py first seen with mtime 1718731507.298896
